case_id,tweet_id,customer_message,gold_intent,gold_escalate,predicted_intent,confidence,decision,reason,reply,evidence_count,top_evidence_customer,top_evidence_reply
AMZ-022,25253,@AmazonHelp The delivery deadline was yesterday,delivery_issue,AUTO-HANDLE,delivery_issue,0.998,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Out for delivery,@326104 We deliver up to 21:00!  Please let us know when you recieve your parcel! ^MW
AMZ-023,2858136,@AmazonHelp Very unhappy prime customer ATM!,prime_membership,AUTO-HANDLE,prime_membership,0.996,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp Unhappy with your service 😔,@201075 Sorry for the unpleasant experience. Please let us know what went wrong so that we can assist you accordingly. ^SH
AMZ-024,197788,@AmazonHelp @119535 Why not?? U r depriving so many potential customers @132994 by not offering @25605 EMI card...wrong decision,payment_billing,AUTO-HANDLE,payment_billing,0.775,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. I found a similar historical AmazonHelp case, but the available context is not specific enough to safely recommend an exact resolution. Please use the official Amazon support channel so a team member can investigate.",3,@AmazonHelp Thanks.. Pleas reply me when your decision is done.,@419458 We have shared your comments internally. But we'll not be able to share the results. You can keep a tab on our web page . ^CB
AMZ-025,130817,@AmazonHelp Not getting any help for the refund. There are 5 items pending for the refund. How can I solve it?,refund_return,AUTO-HANDLE,refund_return,1.0,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp Done all that! Not getting any help.,"@193838 In that case, please share your details here: https://t.co/beaaDm0muc &amp; we'll have a closer look into it. ^RS"
AMZ-026,138907,@AmazonHelp Currently still in Preston ... have retweeted  @147309 whose order it is,order_issue,AUTO-HANDLE,order_issue,0.994,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp Not currently,@314065 Who's the carrier: https://t.co/Y5jpI9gRhE? Do you see your late orders happening with a specific carrier? ^VS
AMZ-027,98590,@AmazonHelp U r making kidding with me.... M regularly doing wat u saying....pls let me know about refund...as u guys misusing name of @15863 by selling fake peoduct,refund_return,AUTO-HANDLE,refund_return,0.9,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp pls let me know what detail you require ?,"@467935 Kindly drop in the required details here: https://t.co/GIJyeYqKE0, and we'll reach out to you soon. ^MA"
AMZ-028,83344,@AmazonHelp I guess you should ask @115817 for a refund since they are going to miss their deadline for  2nd day air,refund_return,AUTO-HANDLE,refund_return,0.9,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp It's already done I guess. Thanks!,@482564 You're welcome. Do keep us posted for any further concerns. ^SG
AMZ-029,49893,@AmazonHelp That is the problem! I cant access on my account because still on hold! I dont know why! Have a chat for customer service?,account_access,AUTO-HANDLE,account_access,0.997,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp Have regained access to ny account but you still have a hold on it  why,@228071 I would advise to log out from any and all devices connected to your account and then log in again to see if this helps. ^BD
AMZ-030,268677,@AmazonHelp It’s just saying I need a subscription but I’m already a prime member,prime_membership,AUTO-HANDLE,prime_membership,1.0,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp I am not a Prime member,@403859 You may be signed up on https://t.co/nUUp5MLhYl - https://t.co/nlCTQRMDAV ^KM
AMZ-031,2954425,"@AmazonHelp There is a trend, it’s the same carrier both times now. I believe it’s your in house delivery, amzl us",delivery_issue,AUTO-HANDLE,delivery_issue,0.907,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Amazon Delivery. AMZL US.,@201519 Please provide your contact information here: https://t.co/HNj0VlNEos and we'll look into this with you. ^LB
AMZ-032,52155,@AmazonHelp This was after a full day of the status on Amazon saying the package was on track for an 8pm delivery and not flipping to a status indicating that it was not going to arrive by 8pm until well after 5pm my time.,delivery_issue,AUTO-HANDLE,delivery_issue,0.994,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp It said it was out for delivery today and would arrive by 8pm,@511879 I see. I'm sorry it hasn't arrived as scheduled. Is there any extra detail on the delay if you check the carrier's website? ^AM
AMZ-033,2905048,@AmazonHelp Then receive a cancellation email. I've been in tears over it last night and again today as everyone I speak to say they are unable to help me and I can no longer have my order. I am so upset and frustrated and feel like no one cares and that I'm not an important enough customer.,order_issue,AUTO-HANDLE,order_issue,0.917,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp When will i receive the email?,"@579937 Just to clarify - was there only 1 order that was charged twice ? If so, rather than a refund, it may be an authorisaiton charge that needs removing: https://t.co/5zE4QUctGs  ^TD"
AMZ-034,96711,"@AmazonHelp But I don't want a refund, I want a replacement. Is that not possible? I don't see that option. The TV doesn't seem to be available right now, and even if it was it wouldn't be the same price.",refund_return,AUTO-HANDLE,refund_return,0.959,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp There is no option for refund - I do not want a replacement.,@314397 I get your concern. Have you reported this to our support team using the link above? ^PS
AMZ-035,141011,"@AmazonHelp But i dont appreciate and you dont understand.. kindly think twice and then answer my query.. if a product has no warranty if purchase made via global brand store of @115850 @115821 why we should even spend a penny where the cost of the product is more than INR10,000",product_issue,AUTO-HANDLE,product_issue,0.991,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp I dont have a phone,@222865 We're also available by live chat and e-mail at  https://t.co/JzP7hlA23B Please keep us posted on how it goes! We look forward to hearing from you soon. ^PF
AMZ-036,2946859,@AmazonHelp Amazon logistics was in the card apparently this was my safe area I requested yet I didn’t even mention one I spoken to someone they didn’t seam to interested said I get a 5 pound gift card but didn’t say when,payment_billing,AUTO-HANDLE,payment_billing,0.459,ESCALATE,low intent confidence,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp What nexts? I didn't here anything,@219299 Could you please elaborate? ^HK
AMZ-037,69269,"@AmazonHelp no, it's the main US version, and I'm accessing prime video on my Roku",prime_membership,AUTO-HANDLE,prime_membership,0.992,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp is it uncensored 3hr 40min version,@192015 We have responded to your query through DM you can kindly check the same. ^GU
AMZ-038,121118,@AmazonHelp I guess i did get prime but couldnt remember. Thanks 😜,prime_membership,AUTO-HANDLE,prime_membership,0.999,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,@AmazonHelp It's already done I guess. Thanks!,@482564 You're welcome. Do keep us posted for any further concerns. ^SG
AMZ-039,36545,"@AmazonHelp This isn't now about installation. 
It's now about faulty product",product_issue,AUTO-HANDLE,product_issue,0.987,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar product issues by reviewing the item and order details before suggesting the appropriate support option. Please review the order and use the official Amazon support channel if you need further help.,3,@AmazonHelp No there isn’t,"@174525 We'd like to look into this further. Please reach out here: https://t.co/JzP7hlA23B Keep us updated, we want to help! ^ HM"
AMZ-040,225008,"@AmazonHelp The refund amount not yet received 

Near one month 
The amount is 72000

Will u pay the interest 5percent? [URL]",refund_return,AUTO-HANDLE,refund_return,0.9,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp Refund not yet received. £917,@182619 We'd like a chance to look into this with you! Please provide details about your experience here: https://t.co/gz1tQB2oAS ^WT
AMZ-041,199979,@AmazonHelp you have my condition for the return in the first tweet itself. Fulfill it then we will talk,refund_return,AUTO-HANDLE,refund_return,0.944,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp the condition is new,@244604 Who does it say the books are sold and fulfilled by? ^AF
AMZ-042,2966541,@AmazonHelp Thanks for checking!,other,AUTO-HANDLE,other,0.855,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,"@AmazonHelp Thanks for checking in :)
It's order 111-8373083-5386646 specifically; seems to be no way to release it neither from Amazon nor from FedEx","@529494 We'd like to look into this with you. When you can, please reach us via phone or chat here: https://t.co/CYqkdUakWJ ^SJ"
AMZ-043,109929,@AmazonHelp Team may i know the reason. Y u guys were cancelled my order,order_issue,AUTO-HANDLE,order_issue,0.984,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar order cases by checking the order details and the available order-support options. Please review the order in Amazon and use the official support channel if you need the team to investigate it.,3,@AmazonHelp can someone from your team call me.,@121902 You may reach out to our support team via phone/chat/email here: https://t.co/2t6DQoUmNZ. ^MM
AMZ-044,17903,"@AmazonHelp Got it just now about 4 hours after it was supposedly delivered. As I said, unpredictable and non-trustworthy delivery process",delivery_issue,AUTO-HANDLE,delivery_issue,0.983,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Nobody has got back to me yet,@172012 I'm so sorry for the delayed response. We do have your information and we'll respond as soon as we have information. ^MH
AMZ-045,2902488,@AmazonHelp I'd love to but when I try and log in with that link you sent it asks for the 2-step verification code which I no longer receive. Hence the problem.,account_access,AUTO-HANDLE,account_access,0.968,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp Thanks. Do I have to log in via that link?,@390236 You will be asked to log in to find available contact options. Hope this helps! ^AB
AMZ-046,16778,"@AmazonHelp Response in mail is just asking to wait n m doing that since last 1 month..it's more than 15 days on Twitter n u doing the same
No solution",other,AUTO-HANDLE,other,0.718,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Still no response... :/,@715859 Please check your spam folder for emails from customer service. ^AP
AMZ-047,86129,"@AmazonHelp Nov. 30. But it didn't ship until Nov. 29 afternoon and we are in a rural, underserved area. UPS now shows Dec. 1 for delivery.",delivery_issue,AUTO-HANDLE,delivery_issue,0.792,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Nov 30 - Dec 1,@225384 Thank you for providing this info. Please let us know if you encounter any further issues with delivery of this order. ^JR
AMZ-048,2958601,@AmazonHelp This has caused me to have a panic attack. I am so unwell at the moment and now have no present for my brother! I will not be buying from Amazon again after this has been resolved and I’ve spoken to head office! This is the second delivery in ONE WEEK!,delivery_issue,ESCALATE,delivery_issue,0.612,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,@AmazonHelp Could I have a contact number for your head office?,"@143189 Hi JJ, if you can give us some details about the issue we'll be happy to help further. - Tara S"
AMZ-049,2894562,"@AmazonHelp È l'ennesima volta che una spedizione che _voi_ dichiarate essere con consegna garantita, affidata a SDA, non arriva nei tempi previsti e non si sa quando arriverà. E tutto quello che fare è mandare una letterina di scuse? Voglio un mese gratis di prime per ogni volta che toppate",prime_membership,AUTO-HANDLE,prime_membership,0.637,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar Prime or membership questions by checking the membership details. Please review your Prime membership status and contact Amazon support through the official channel if it does not look correct.,3,"@AmazonHelp No, di un rimborso che non arriva 😁",@201981 Hai effettuato un reso? Puoi darci maggiori dettagli? ^MP
AMZ-050,2906635,@AmazonHelp Filing a refund dispute because the vendor did not contact me for 2+ days.,refund_return,AUTO-HANDLE,refund_return,0.967,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically directed similar return or refund cases to the order’s return/refund support flow. Please review the return or refund status for the order and contact Amazon support if the status does not match what you expect.,3,@AmazonHelp They are not filing the charge dispute ...,@119794 Kindly reply to the email sent to you by our team. ^GD
AMZ-051,2887281,"@AmazonHelp Hi, my password is okay i just keep getting a message saying ‘something went wrong’ it’s been like it for about an hour",account_access,AUTO-HANDLE,account_access,0.649,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,@AmazonHelp Okay. I just reported it,"@133292 Thanks for writing back. Once you report to our support team, they will ensure to sort this out for you at the earliest. Do keep us posted for any further concern. ^PR"
AMZ-052,2972008,@AmazonHelp and nothing was solved. I don’t even think he understood what was going on.,other,AUTO-HANDLE,other,0.626,ESCALATE,unsupported or ambiguous intent,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp Still not solved,@367524 We have responded to your DM. Kindly check. ^MP
AMZ-053,5128,"@AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.",delivery_issue,AUTO-HANDLE,delivery_issue,0.999,AUTO-HANDLE,routine supported intent with sufficient confidence,"Thanks for reaching out. For delivery problems like this, AmazonHelp has historically started by checking the delivery details and whether the package may have been left at another location. If you still cannot locate it, contact Amazon support through the official channel so the team can investigate the delivery.",3,"@AmazonHelp You guys. Your driver delivered it in the ""mail room"" but we don't have a mail room.",@134594 So sorry for that! I'd like a member of my team to look into this! Please provide more info here: https://t.co/ctQpQVImI4 ^AD
AMZ-054,179204,@AmazonHelp I used the link in your tweet - lead me to a log in page - I CANT LOG IN - is that loud enough?,account_access,AUTO-HANDLE,account_access,0.855,AUTO-HANDLE,routine supported intent with sufficient confidence,Thanks for reaching out. AmazonHelp has historically handled similar account issues by checking the account/access details. Please use Amazon’s official account-support channel so the team can investigate without you sharing sensitive account information here.,3,"@AmazonHelp that directs me to a ""log in"" page., and i cannot log in",@576438 I'm sorry we sent the incorrect link. This one will allow you to reach us without signing in: https://t.co/jzvkhdlrK5 ^LR
AMZ-055,126805,"@AmazonHelp não, só não apareceu a página de login para fazer o pagamento",account_access,AUTO-HANDLE,account_access,0.539,ESCALATE,low intent confidence,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,"@AmazonHelp Não, ja desisti. Obrigado.",@648452 Tenta de novo no chat! ^JJ
AMZ-056,2726733,@AmazonHelp No need to do anything please refund my amount as soon as possible otherwise I approach Consumer Court against you.,refund_return,ESCALATE,refund_return,0.968,ESCALATE,higher-risk/legal/fraud wording,Thanks for reaching out. I’m sorry you’re dealing with this. I’d like a support specialist to take a closer look and help resolve it.,3,@AmazonHelp I need refund,"@158573 I get your concern, please connect with our support team using the link above and we'll assist you. ^PS"
