case_id,customer_message,gold_intent,rank,similarity,historical_customer_message,historical_amazon_reply
AMZ-006,@AmazonHelp I tried now with Firefox and the buy button is still grey and when I try Instant access it says an internal error has occurred in our system,other,1,0.3056,"@AmazonHelp ""An Unknown error occurred""","@316227 We'd like to look into this further with you. When you have a moment, please reach out to us here: https://t.co/EKXRLsnxJu ^AC"
AMZ-006,@AmazonHelp I tried now with Firefox and the buy button is still grey and when I try Instant access it says an internal error has occurred in our system,other,2,0.288,@AmazonHelp When I try to send a text there is no error message at all when picking the call instead it says an unknown error occurred.,"@588838 Are you trying to set up a seller account on https://t.co/hSs9w9f1pF, amazon.br, or one of our other sites? If you haven't already, we recommend entering the full phone number, including any area or country codes. ^MB"
AMZ-006,@AmazonHelp I tried now with Firefox and the buy button is still grey and when I try Instant access it says an internal error has occurred in our system,other,3,0.276,@AmazonHelp Yes still just keep saying an error has occurred try later :(,@688269 Sorry to hear that. Get in touch here: https://t.co/JzP7hlA23B and we'll be happy to help. ^RS
AMZ-007,@AmazonHelp Thanks for ur reply..i m referring movie XXX : Return of Xander Cage &amp; TV series Walking dead.,refund_return,1,0.4612,@AmazonHelp Thanks for ur reply.,@773072 You're welcome. Kindly drop in your details in the link provided earlier and we'll reach out to you. ^GK
AMZ-007,@AmazonHelp Thanks for ur reply..i m referring movie XXX : Return of Xander Cage &amp; TV series Walking dead.,refund_return,2,0.3641,@AmazonHelp Thanks. Am i correct that these are TV series rather than any films?,@360117 Your purchased film downloads will be available to watch abroad! You also have the option to watch select Prime shows.  ^FD
AMZ-007,@AmazonHelp Thanks for ur reply..i m referring movie XXX : Return of Xander Cage &amp; TV series Walking dead.,refund_return,3,0.3242,@AmazonHelp The Walking Dead 001 que eu não achava nunca,"@819919 Opa, boa escolha! 😍 Tomara que você curta muito a leitura dos seus eBooks, Ana. Abraço! ^CR"
AMZ-008,@AmazonHelp Solicitud (foto del estado de cuenta),other,1,0.2765,@AmazonHelp Anexo foto: https://t.co/5RslMch0qW,"@416965 Como se te informa ha sufrido un retraso. ¿Has consultado las opciones disponibles en ""Ver opciones""? ^JD"
AMZ-008,@AmazonHelp Solicitud (foto del estado de cuenta),other,2,0.256,"@AmazonHelp Gracias por contestar, no tengo un mail. Cuando entré a mi cuenta esta mañana me apareció lo siguiente &lt;Su cuenta y sus pedidos están en espera. Para desbloquear tu cuenta, debemos confirmar la información de su cuenta bancaria. Cargue una copia de su último estado de cuenta&gt;","@298544 Entiendo, ¿has podido seguir las instrucciones indicadas? De no ser así, puedes ingresar en el siguiente enlace para reportar lo sucedido: https://t.co/POwMHUH2xx. ^KS"
AMZ-008,@AmazonHelp Solicitud (foto del estado de cuenta),other,3,0.2478,"@AmazonHelp ok, voy a esperar a que me llegue el estado de cuenta y cualquier cosa los contacto :P gracias!","@381332 Por favor, mantennos al tanto. ¡Saludos! (: ^CR"
AMZ-009,@AmazonHelp I have two orders that are delayed right now.,other,1,0.602,@AmazonHelp Still no orders show up,@350052 Did you receive an order confirmation e-mail when you placed the order? Have you checked your e-mail for any order updates? ^CO
AMZ-009,@AmazonHelp I have two orders that are delayed right now.,other,2,0.602,@AmazonHelp its not in my orders,"@708121 Prime refunds typically take 3-5 business days to refund. Although, it may be a bit longer depending on your bank. Has it been longer than the 5 business days since it has been issued? ^JZ"
AMZ-009,@AmazonHelp I have two orders that are delayed right now.,other,3,0.4429,@AmazonHelp The 3 orders that are currently delayed are USPS.,@523619 Sorry to hear this - please contact USPS so they can assist : https://t.co/mRrnHUJUdO ^TD
AMZ-010,@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,order_issue,1,0.4195,@AmazonHelp If i place the fresh order im being charged extra for delivery by today,"@146154 If you haven't subscribed to Prime, you will be charged for one-day, two-day, guarantee delivery and so on. Appreciate your co-operation. ^PB"
AMZ-010,@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,order_issue,2,0.4009,@AmazonHelp I've contacted Amazon customer care. But they refused. Saying nothing can be done at their end. I'll have to place a fresh order.,@294374 You must've received an email explaining the cancellation. Please refer the same. ^HK
AMZ-010,@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,order_issue,3,0.3675,@AmazonHelp Already reported,"@704453 In that case, please share your details from the link here: https://t.co/VNUITkunAc and we will assist you accordingly. ^HR"
AMZ-011,"@AmazonHelp Yes Canada post always return back the packages to the post office to pick them while I left them a note to leave it on front of the door. So now I have to go to the post office and drag my 49"" TV and my ps4 home walking!",refund_return,1,0.4199,"@AmazonHelp It’s no YOU, it’s the post office. The post office will not deliver a second time during the day. It’s once and gone.",@282867 My apologies. Did it say in the tracking the attempted delivery? ^PK
AMZ-011,"@AmazonHelp Yes Canada post always return back the packages to the post office to pick them while I left them a note to leave it on front of the door. So now I have to go to the post office and drag my 49"" TV and my ps4 home walking!",refund_return,2,0.4181,"@AmazonHelp Nope, they are not delivering whole order... why order it to be delivered if they say I have to go to the post office and pick it up? There is a @walmart  between my house and post office quicker to go there if I have to go out and get it","@729328 I'm sorry for the trouble with your order, Joe! We don't have access to your account details via Twitter but please give us a call or chat to look into this together here: https://t.co/hApLpMlfHN ^TG"
AMZ-011,"@AmazonHelp Yes Canada post always return back the packages to the post office to pick them while I left them a note to leave it on front of the door. So now I have to go to the post office and drag my 49"" TV and my ps4 home walking!",refund_return,3,0.4071,@AmazonHelp Was dropping it off at a post office but I put the wrong postcode in !,@359360 Did you already drop off your return or do you still have the parcel?^DO
AMZ-012,@AmazonHelp We have 2 work 2gether to accommodate UR new service.  I simply need 2 know how exactly U instruct AF customers re disposition of the large green insulated carriers.  Not a difficult question--need the written instrux.,other,1,0.3558,"@AmazonHelp I'm at work so, it's difficult","@466881 When you get a chance, please contact us directly here: https://t.co/JzP7hlA23B. You can contact by phone, chat or email. ^PK"
AMZ-012,@AmazonHelp We have 2 work 2gether to accommodate UR new service.  I simply need 2 know how exactly U instruct AF customers re disposition of the large green insulated carriers.  Not a difficult question--need the written instrux.,other,2,0.2845,@AmazonHelp I'm at work so no,@159139 Could you get in touch with us later? ^AS
AMZ-012,@AmazonHelp We have 2 work 2gether to accommodate UR new service.  I simply need 2 know how exactly U instruct AF customers re disposition of the large green insulated carriers.  Not a difficult question--need the written instrux.,other,3,0.2845,@AmazonHelp I have done everything. You have to work now,@383454 We have received your details. We will get back to you at the earliest. ^SC
AMZ-013,@AmazonHelp Many sellers are affected by this!  We can't get our money disbursed from Amazon seller accounts.  It's been going on for a week !,product_issue,1,0.4454,@AmazonHelp One of your sellers..,@508397 Thanks for confirming! Have you had a chance to contact the seller: https://t.co/qNEHEOem1D? They may have further info. ^AB
AMZ-013,@AmazonHelp Many sellers are affected by this!  We can't get our money disbursed from Amazon seller accounts.  It's been going on for a week !,product_issue,2,0.4454,@AmazonHelp One of your sellers,@290278 Thanks for confirming! Have you reached out to the seller using the guidance found here: https://t.co/sraP2KUZZg? ^ST
AMZ-013,@AmazonHelp Many sellers are affected by this!  We can't get our money disbursed from Amazon seller accounts.  It's been going on for a week !,product_issue,3,0.4454,@AmazonHelp One of the sellers,"@207830 Have you tried using the ""contact seller"" function from the order? ^MJ"
AMZ-014,@AmazonHelp So then I will return it and purchase it again for the new price,refund_return,1,0.4594,@AmazonHelp What do I get in return ?,"@552107 As of now, we don't have bug reward program. We could improve our services using your inputs. ^GS"
AMZ-014,@AmazonHelp So then I will return it and purchase it again for the new price,refund_return,2,0.4541,@AmazonHelp so no-way to re-new it at the same price? :(,@413556 You'll only be able to renew prime subscription after the current subscription expires. ^SH
AMZ-014,@AmazonHelp So then I will return it and purchase it again for the new price,refund_return,3,0.3289,@AmazonHelp Any estimate how much time it will take as now I don't have even my money to purchase a new one from the market. Thanks for your help,@183115 We'll get back to you as soon as possible. ^HN
AMZ-015,@AmazonHelp  [URL],other,1,0.639,@AmazonHelp What is the url need to be filled in the form,@466867 URL for the message would be the link of your tweet to us. ^MN
AMZ-015,@AmazonHelp  [URL],other,2,0.6086,"@AmazonHelp What is ""url to twitter message""","@279741 You can mention the link here:https://t.co/h5j0lqsdgj in the ""URL"" option. ^EM"
AMZ-015,@AmazonHelp  [URL],other,3,0.5522,@AmazonHelp What is URL to twitter message https://t.co/k2JF5DSSIf,@447293 Please use this link: https://t.co/uFNcSjSAVd as URL to URL Twitter post. ^SI
AMZ-016,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",other,1,0.4039,@AmazonHelp I have not received a response,@371156 Just to clarify did you send an e-mail or request a call? ^LS
AMZ-016,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",other,2,0.4039,@AmazonHelp Still not received any response from you,@694750 I'm sorry about the hassle. Have you shared the details via secured link provided to you earlier ? ^SB
AMZ-016,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",other,3,0.3914,@AmazonHelp I replied to it.,@239345 Thank you for that information! A member of our team will be reaching out to you soon. ^AR
AMZ-017,@AmazonHelp I ordered in US..,order_issue,1,1.0,@AmazonHelp That’s why I ordered,@630475 I'm sorry for the delayed shipping. We're here to help and would like to take a closer look here: https://t.co/hApLpMlfHN ^SE
AMZ-017,@AmazonHelp I ordered in US..,order_issue,2,0.8578,@AmazonHelp I ordered one but i receved another product,"@671981 Sorry for the stretch, Parvez. We'd like to check this &amp; help you. Kindly share your details here: https://t.co/beaaDm0muc and we'll get back to you with an appropriate resolution. ^SY"
AMZ-017,@AmazonHelp I ordered in US..,order_issue,3,0.7735,@AmazonHelp I ordered from .com,@498977 Please give us a call here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR
AMZ-018,@AmazonHelp I must say something that #Amazon has gone #worst yesterday ur agent told me someone will come to picup the product today before 10 its 1:15 in india still the product lies with me pls #help #customerservice #complain,product_issue,1,0.2509,@AmazonHelp Where would it say?,@206992 The product page on the website. ^MC
AMZ-018,@AmazonHelp I must say something that #Amazon has gone #worst yesterday ur agent told me someone will come to picup the product today before 10 its 1:15 in india still the product lies with me pls #help #customerservice #complain,product_issue,2,0.2509,@AmazonHelp Is there anything else you say?,"@185733 Please do not worry, we're working on the issue. ^HN"
AMZ-018,@AmazonHelp I must say something that #Amazon has gone #worst yesterday ur agent told me someone will come to picup the product today before 10 its 1:15 in india still the product lies with me pls #help #customerservice #complain,product_issue,3,0.2509,@AmazonHelp No what will I say to them?,@427887 If the order is being rejected they should be able to provide a reason to why this is occurring. Keep us updated ^CR
AMZ-019,@AmazonHelp @115851 submitting details for the fifth time. Such poor customer service. Initiate refund asap,refund_return,1,0.4186,@AmazonHelp @115851 Didn't receive any updates. Initiate refund asap.,@162537 That's odd. Sorry to know. Please check your inbox/ spam folders for a correspondence sent to your registered email. ^SV
AMZ-019,@AmazonHelp @115851 submitting details for the fifth time. Such poor customer service. Initiate refund asap,refund_return,2,0.3823,@AmazonHelp @115851 Didn't receive call from mobile team as promised in the correspondence mail. Such poor service. Initiate refund.,@162537 Sorry for the hassle. Could you please confirm if you've shared your details in the link shared earlier? ^HN
AMZ-019,@AmazonHelp @115851 submitting details for the fifth time. Such poor customer service. Initiate refund asap,refund_return,3,0.3786,@AmazonHelp I see now that you've already issued a charge to my account. Please initiate full refund ASAP. @92702,"@509996 I'm so sorry for the unexpected charge! You can end your subscription at the link ^DD provided. If you haven't used your Prime benefits, you'll receive a full refund. For additional help with your subscription, please reach us here: https://t.co/EKXRLsnxJu ^JN"
AMZ-020,"@AmazonHelp I wrote back, but no updates. I was told I will get an update but i didn't. @115851 kindly help. it's been 10 days. Initiate refund",refund_return,1,0.3478,@AmazonHelp Already wrote them but not heard back yet,@199881 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB
AMZ-020,"@AmazonHelp I wrote back, but no updates. I was told I will get an update but i didn't. @115851 kindly help. it's been 10 days. Initiate refund",refund_return,2,0.3184,@AmazonHelp you wrote my name wrongly,@391228 I'm sorry about that Siddhesh. ^BA
AMZ-020,"@AmazonHelp I wrote back, but no updates. I was told I will get an update but i didn't. @115851 kindly help. it's been 10 days. Initiate refund",refund_return,3,0.3132,@AmazonHelp @115851 Didn't receive any updates. Initiate refund asap.,@162537 That's odd. Sorry to know. Please check your inbox/ spam folders for a correspondence sent to your registered email. ^SV
AMZ-021,"@AmazonHelp Haha! Link requires me to log in to do anything :-P
Already sent an email of sorts, but thank you for trying to help. I appreciate it!",account_access,1,0.4149,@AmazonHelp Haha it can’t understand his name so will make all sorts of wrong offerings.,@493910 Are you able to submit feedback on the Alexa app? ^PK
AMZ-021,"@AmazonHelp Haha! Link requires me to log in to do anything :-P
Already sent an email of sorts, but thank you for trying to help. I appreciate it!",account_access,2,0.3686,@AmazonHelp Thank you for the help. I appreciate it very much.,"@195704 You're welcome, Nathan! Let us know if there's anything else we can do to help! ^CS"
AMZ-021,"@AmazonHelp Haha! Link requires me to log in to do anything :-P
Already sent an email of sorts, but thank you for trying to help. I appreciate it!",account_access,3,0.3681,@AmazonHelp I have not. If you could help me with that I’d appreciate it!,"@436841 When you spoke with us, did we ask you to wait until a certain date for more options? ^JP"
AMZ-022,@AmazonHelp The delivery deadline was yesterday,delivery_issue,1,0.605,@AmazonHelp It's not even out for delivery yet.,"@233533 Unless we've provided notification otherwise, we still expect it to arrive on time. It's not uncommon for orders to ship the same day they are due to arrive. We deliver until 8 PM. Please keep us posted on the arrival!"
AMZ-022,@AmazonHelp The delivery deadline was yesterday,delivery_issue,2,0.605,@AmazonHelp Still no delivery can we do something about this or what?,"@638008 Hey, get in touch with us here: https://t.co/hApLpMlfHN so we can check this for you as we don't have access to account details here on Twitter. ^KM"
AMZ-022,@AmazonHelp The delivery deadline was yesterday,delivery_issue,3,0.605,@AmazonHelp No delivery...,@458833 Oh no! Let's look into this in real time. Please call or chat with us here: https://t.co/xMEtytjV0S ^BA
AMZ-023,@AmazonHelp Very unhappy prime customer ATM!,prime_membership,1,0.519,@AmazonHelp Unhappy with your service 😔,@201075 Sorry for the unpleasant experience. Please let us know what went wrong so that we can assist you accordingly. ^SH
AMZ-023,@AmazonHelp Very unhappy prime customer ATM!,prime_membership,2,0.4897,@AmazonHelp Unhappy with the response to my email. Not helpful at all! 😤,"@483625 Sorry, what did the email advise? How much was the charge for and what does it say next to the charge on your statement? ^JJ"
AMZ-023,@AmazonHelp Very unhappy prime customer ATM!,prime_membership,3,0.4814,@AmazonHelp Unhappy with the quality of product,@393065 Apologies. You may reach out to our support team here: https://t.co/vlvfJr4nN9 and we’ll be glad to help you. ^NK
AMZ-024,@AmazonHelp @119535 Why not?? U r depriving so many potential customers @132994 by not offering @25605 EMI card...wrong decision,payment_billing,1,0.3246,@AmazonHelp @1871 @13452 Where can I find emi details,"@283011 As mentioned earlier, you can find the EMI details on the product page once the sale starts. ^JS"
AMZ-024,@AmazonHelp @119535 Why not?? U r depriving so many potential customers @132994 by not offering @25605 EMI card...wrong decision,payment_billing,2,0.2318,@AmazonHelp Thanks.. Pleas reply me when your decision is done.,@419458 We have shared your comments internally. But we'll not be able to share the results. You can keep a tab on our web page . ^CB
AMZ-024,@AmazonHelp @119535 Why not?? U r depriving so many potential customers @132994 by not offering @25605 EMI card...wrong decision,payment_billing,3,0.2298,@AmazonHelp Pls see that a decision is reached soon,@182810 We'll certainly ensure that the issue is resolved and closed at the earliest. ^AP
AMZ-025,@AmazonHelp Not getting any help for the refund. There are 5 items pending for the refund. How can I solve it?,refund_return,1,0.5159,@AmazonHelp Done all that! Not getting any help.,"@193838 In that case, please share your details here: https://t.co/beaaDm0muc &amp; we'll have a closer look into it. ^RS"
AMZ-025,@AmazonHelp Not getting any help for the refund. There are 5 items pending for the refund. How can I solve it?,refund_return,2,0.3406,@AmazonHelp They are not getting back to me,@349396 When did you last contact Twitch customer service? It can take up to 24 hours to reply to e-mails. Has this time passed? ^GR
AMZ-025,@AmazonHelp Not getting any help for the refund. There are 5 items pending for the refund. How can I solve it?,refund_return,3,0.3406,@AmazonHelp so will you be getting back to me?,@436249 Oh no! Could you tell us the carrier and latest tracking update on this delivery: https://t.co/Y5jpI9gRhE ^ML
AMZ-026,@AmazonHelp Currently still in Preston ... have retweeted  @147309 whose order it is,order_issue,1,0.7187,@AmazonHelp Not currently,@314065 Who's the carrier: https://t.co/Y5jpI9gRhE? Do you see your late orders happening with a specific carrier? ^VS
AMZ-026,@AmazonHelp Currently still in Preston ... have retweeted  @147309 whose order it is,order_issue,2,0.6852,@AmazonHelp Currently https://t.co/pQ0LrOd1yN,@329685 We'd like to see if we have any additional options. Please contact us here: https://t.co/qy3J24VGxb ^AF
AMZ-026,@AmazonHelp Currently still in Preston ... have retweeted  @147309 whose order it is,order_issue,3,0.4736,@AmazonHelp Currently on hold again. 😊,@679483 I'm sorry about this. We want to help you get this resolved. Please let us know the outcome of the call.^SM
AMZ-027,@AmazonHelp U r making kidding with me.... M regularly doing wat u saying....pls let me know about refund...as u guys misusing name of @15863 by selling fake peoduct,refund_return,1,0.356,@AmazonHelp pls let me know what detail you require ?,"@467935 Kindly drop in the required details here: https://t.co/GIJyeYqKE0, and we'll reach out to you soon. ^MA"
AMZ-027,@AmazonHelp U r making kidding with me.... M regularly doing wat u saying....pls let me know about refund...as u guys misusing name of @15863 by selling fake peoduct,refund_return,2,0.2977,@AmazonHelp But u r not sorry for selling me fake goods and cheating me my money..,@491016 I'm sorry for the trouble caused over this order. We will consider this as feedback &amp; ensure to pass it on internally. ^RW
AMZ-027,@AmazonHelp U r making kidding with me.... M regularly doing wat u saying....pls let me know about refund...as u guys misusing name of @15863 by selling fake peoduct,refund_return,3,0.2399,@AmazonHelp @AmazonHelp  pls let me know wats Ur budget for diwali. I will take help from people to support u. @AmazonHelp  we love doing charity,@167356 Sorry about the bad experience. Kindly drop in your details here: https://t.co/iOprwHK21y and we'll look into it. ^NS
AMZ-028,@AmazonHelp I guess you should ask @115817 for a refund since they are going to miss their deadline for  2nd day air,refund_return,1,0.3456,@AmazonHelp It's already done I guess. Thanks!,@482564 You're welcome. Do keep us posted for any further concerns. ^SG
AMZ-028,@AmazonHelp I guess you should ask @115817 for a refund since they are going to miss their deadline for  2nd day air,refund_return,2,0.3089,@AmazonHelp Guess thats all i can do 😊,@311031 Don't lose your heart! Keep an eye on your inbox. You might receive something soon. :) ^HD
AMZ-028,@AmazonHelp I guess you should ask @115817 for a refund since they are going to miss their deadline for  2nd day air,refund_return,3,0.2877,@AmazonHelp Guess I have to work to get my stuff…,"@686458 We don't have access to your account details on Social Media but if you contact us directly using the link provided by ^LH, we will be more than happy to help further ^BZ"
AMZ-029,@AmazonHelp That is the problem! I cant access on my account because still on hold! I dont know why! Have a chat for customer service?,account_access,1,0.4498,@AmazonHelp Have regained access to ny account but you still have a hold on it  why,@228071 I would advise to log out from any and all devices connected to your account and then log in again to see if this helps. ^BD
AMZ-029,@AmazonHelp That is the problem! I cant access on my account because still on hold! I dont know why! Have a chat for customer service?,account_access,2,0.3663,@AmazonHelp I can’t my account is on hold hello?,"@377482 When it asks you to sign in, please use the skip sign in option on this page to bypass having to enter your details. ^DW"
AMZ-029,@AmazonHelp That is the problem! I cant access on my account because still on hold! I dont know why! Have a chat for customer service?,account_access,3,0.3552,"@AmazonHelp It has, that's the problem","@191717 Ah ok - pls contact us to see if we can redirect with the carrier, or request a Stop and Return: https://t.co/JzP7hlA23B ^TD"
AMZ-030,@AmazonHelp It’s just saying I need a subscription but I’m already a prime member,prime_membership,1,0.3742,@AmazonHelp I am a prime member,"@283011 As a Prime Member, you'll get early access to this sale @1871.30pm, while the sale starts @13452.00pm. The details on EMI will be available on the product page, you may check it there. ^SF"
AMZ-030,@AmazonHelp It’s just saying I need a subscription but I’m already a prime member,prime_membership,2,0.3742,@AmazonHelp I am not a Prime member,@403859 You may be signed up on https://t.co/nUUp5MLhYl - https://t.co/nlCTQRMDAV ^KM
AMZ-030,@AmazonHelp It’s just saying I need a subscription but I’m already a prime member,prime_membership,3,0.3321,"@AmazonHelp Just saying is not enough,u have to practialise on ur words.","@703559 Apologies, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. ^SI"
AMZ-031,"@AmazonHelp There is a trend, it’s the same carrier both times now. I believe it’s your in house delivery, amzl us",delivery_issue,1,0.5315,"@AmazonHelp It was the amazon in house delivery, AMZL US.","@594230 If you haven't contacted us via phone/chat yet? If not, please reach out to us here: https://t.co/hApLpMlfHN so we may research further. ^SY"
AMZ-031,"@AmazonHelp There is a trend, it’s the same carrier both times now. I believe it’s your in house delivery, amzl us",delivery_issue,2,0.3595,@AmazonHelp Amazon Delivery. AMZL US.,@201519 Please provide your contact information here: https://t.co/HNj0VlNEos and we'll look into this with you. ^LB
AMZ-031,"@AmazonHelp There is a trend, it’s the same carrier both times now. I believe it’s your in house delivery, amzl us",delivery_issue,3,0.3595,@AmazonHelp It was an Amazon delivery through AMZL US,"@755218 We'd like to look into this further. When you have time, please provide us with your details here: https://t.co/3hysHzzHSt ^AC"
AMZ-032,@AmazonHelp This was after a full day of the status on Amazon saying the package was on track for an 8pm delivery and not flipping to a status indicating that it was not going to arrive by 8pm until well after 5pm my time.,delivery_issue,1,0.2504,@AmazonHelp It said it was out for delivery today and would arrive by 8pm,@511879 I see. I'm sorry it hasn't arrived as scheduled. Is there any extra detail on the delay if you check the carrier's website? ^AM
AMZ-032,@AmazonHelp This was after a full day of the status on Amazon saying the package was on track for an 8pm delivery and not flipping to a status indicating that it was not going to arrive by 8pm until well after 5pm my time.,delivery_issue,2,0.2405,@AmazonHelp It said due to arrive by 8pm tonight,@772020 Did the tracking info indicate it was out for delivery as well. Did you get a chance to provide your contact details yet? ^SY
AMZ-032,@AmazonHelp This was after a full day of the status on Amazon saying the package was on track for an 8pm delivery and not flipping to a status indicating that it was not going to arrive by 8pm until well after 5pm my time.,delivery_issue,3,0.2362,@AmazonHelp One day,@811994 Have you checked your spam and junk folders for a reply? Sometimes e-mails can accidentally be routed to those folders. ^TH
AMZ-033,@AmazonHelp Then receive a cancellation email. I've been in tears over it last night and again today as everyone I speak to say they are unable to help me and I can no longer have my order. I am so upset and frustrated and feel like no one cares and that I'm not an important enough customer.,order_issue,1,0.2217,@AmazonHelp When will i receive the email?,"@579937 Just to clarify - was there only 1 order that was charged twice ? If so, rather than a refund, it may be an authorisaiton charge that needs removing: https://t.co/5zE4QUctGs  ^TD"
AMZ-033,@AmazonHelp Then receive a cancellation email. I've been in tears over it last night and again today as everyone I speak to say they are unable to help me and I can no longer have my order. I am so upset and frustrated and feel like no one cares and that I'm not an important enough customer.,order_issue,2,0.2155,@AmazonHelp They say they are unable to find my order and cancel the call!!!,@703111 That's strange. I'd like to know more about the issue and assist you with it. Please share your details here: https://t.co/AMS5ZeVFFg and I'll get back to you. ^SH
AMZ-033,@AmazonHelp Then receive a cancellation email. I've been in tears over it last night and again today as everyone I speak to say they are unable to help me and I can no longer have my order. I am so upset and frustrated and feel like no one cares and that I'm not an important enough customer.,order_issue,3,0.2148,@AmazonHelp And I have the cancellation email that u send out,"@324511 We don't charge your payment method until an item ships, but an authorization may be visible: https://t.co/3AXG7Ch8KY ^GG"
